Description,PMUL130T1 (PMU TEMPERATURE),PMUL336Q (PMU ENGINE TORQUE),PMUL344NG,PMUL345ITT,PMUL346NP,OIL TEMP,ENG MOUNT TRIAXIAL ACCEL 1 - X (ACCENG_P3X),ENG MOUNT TRIAXIAL ACCEL 3 - X (ACCENG_P5X),ENG MOUNT TRIAXIAL ACCEL 5 - X (ACCENG_P8X),ENG MOUNT TRIAXIAL ACCEL 5 - Y (ACCENG_P9Y)
EU,DGC,%,%,DGC,%,DGC,g,g,g,g
234:08:56:00.000,23.15625,0,0,26.5,0,25.23416138,0.00532522,-0.02269995,-0.00925537,0.00759323
234:08:56:00.100,23.15625,0,0,26.4375,0,25.23416138,-0.01020668,0.039613649,-0.00094927,0.01445163
234:08:56:00.200,23.15625,0,0,26.4375,0,25.23416138,0.00687841,-0.00244803,-0.015900251,0.00244943
234:08:56:00.300,23.15625,0,0,26.5,0,25.23416138,0.01153798,-0.02737347,-0.01091659,0.00416403
234:08:56:00.400,23.15625,0,0,26.6875,0,25.23416138,-0.0071003,0.00378333,-0.00261049,0.01102243
234:08:56:00.500,23.15625,0,0,26.6875,0,25.23416138,0.00532522,0.01468821,-0.00759415,0.01445163
234:08:56:00.600,23.15625,0,0,26.25,0,25.23416138,-0.00244073,0.00222549,0.01732415,-0.00955277
234:08:56:00.700,23.15625,0,0,26.25,0,25.23416138,-0.01175987,-0.053856749,-0.00593293,-0.00097977
234:08:56:00.800,23.15625,0,0,26.5,0,25.23416138,0.0084316,0.01468821,0.00735683,0.00244943
234:08:56:00.900,23.15625,0,0,26.5625,0,25.23416138,0.00066565,0.01157253,-0.00094927,-0.01126737
234:08:56:01.000,23.15625,0,0,26.5625,0,25.23416138,-0.0071003,0.00534117,-0.00094927,-0.01298197
234:08:56:01.100,23.15625,0,0,26.5,0,25.23416138,-0.01331306,-0.02425779,0.022307809,-0.01298197
234:08:56:01.200,23.15625,0,0,26.5,0,25.23416138,-0.00865349,0.019361731,0.015662931,-0.00783817
234:08:56:01.300,23.15625,0,0,26.5,0,25.23416138,-0.01020668,0.028708771,0.03559757,-0.00097977
234:08:56:01.400,23.15625,0,0,26.5,0,25.23416138,0.01309117,-0.050741069,0.00735683,-0.00783817
234:08:56:01.500,23.15625,0,0,26.5,0,25.23416138,-0.01020668,0.016246051,0.00237317,-0.00612357
234:08:56:01.600,23.15625,0,0,26.6875,0,25.23416138,-0.00865349,0.059865572,0.01898537,-0.00783817
234:08:56:01.700,23.15625,0,0,26.6875,0,25.23416138,-0.00244073,-0.035162669,-0.017561469,-0.00097977
234:08:56:01.800,23.15625,0,0,26.5,0,25.23416138,-0.01486625,-0.01023723,0.015662931,-0.01126737
234:08:56:01.900,23.15625,0,0,26.5,0,25.23416138,-0.016419441,0.048960689,0.01400171,-0.00612357
234:08:56:02.000,23.15625,0,0,26.5,0,25.23416138,0.01775074,-0.01023723,-0.02420635,0.00587863
234:08:56:02.100,23.15625,0,0,26.5,0,25.23416138,-0.00865349,-0.03048915,-0.027528791,-0.00612357
234:08:56:02.200,23.15625,0,0,26.5,0,25.23416138,0.0084316,0.00222549,-0.00427171,0.00930783
234:08:56:02.300,23.15625,0,0,26.5,0,25.23416138,0.016197549,0.034940131,-0.01423903,0.00416403
234:08:56:02.400,23.15625,0,0,26.5,0,25.23416138,-0.00088754,-0.03048915,-0.03085123,0.00073483
234:08:56:02.500,23.15625,0,0,26.5,0,25.23416138,0.00066565,-0.03048915,-0.017561469,-0.00440897
234:08:56:02.600,23.15625,0,0,26.25,0,25.23416138,0.01153798,-0.00089019,-0.015900251,0.00244943
234:08:56:02.700,23.15625,0,0,26.5,0,25.23416138,0.016197549,0.025593091,-0.01423903,0.01102243
234:08:56:02.800,23.15625,0,0,26.5,0,25.23416138,0.01309117,-0.00556371,-0.01257781,-0.00269437
234:08:56:02.900,23.15625,0,0,26.5,0,25.23416138,0.00687841,-0.02581563,-0.02088391,0.00759323
234:08:56:03.000,23.15625,0,0,26.5,0,25.23416138,-0.00399392,0.01313037,0.00569561,0.00930783
234:08:56:03.100,23.15625,0,0,26.625,0,25.23416138,0.01153798,0.00689901,0.01898537,-0.00097977
234:08:56:03.200,23.15625,0,0,26.4375,0,25.23416138,0.00532522,-0.02425779,0.00071195,0.00244943
