Description,ANGLE OF ATTACK - ALPHA (AOA),ANGLE OF SIDESLIP - BETHA (SDSLIP),1P STICK ROLL POSITION (POSAILECMD),LH AILERON DEFLECTION (POSAILLH),RH AILERON DEFLECTION (POSAILRH),ELEVATOR DEFLECTION (POSELEV),1P STICK PITCH POSITION (POSELEVCMD),RUDDER DEFLECTION (POSRUDD),1P PEDAL POSITION (POSRUDDCMD),LH FLAP DEFLECTION (FLAPLH),RH FLAP DEFLECTION (FLAPRH),ELEVATOR LONGITUDINAL FORCE STRAIN GAGE,AILERON LATERAL FORCE STRAIN GAGE,PITCH TRIM,ROLL TRIM,RUDDER TRIM
EU,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,kg,kg,deg,deg,deg
198:09:40:00.000,30.73562622,-30,1.505084753,-0.06631393,-0.507983685,-19.52319145,15.28259563,-11.83326721,3.943041325,15.21639633,15.27641296,0.266842097,0.308865249,-0.237348229,-0.177837074,2.74290061
198:09:40:00.100,30.73562622,-30,1.494915247,0,-0.543631613,-19.18738365,15.05604744,-11.43619156,3.731864691,15.21639633,15.27493858,0.212105259,0.341134757,-0.237785339,-0.177837074,2.74290061
198:09:40:00.200,30.73562622,-30,1.494915247,-0.001410935,-0.521351635,-19.2894249,15.15280247,-10.8277359,3.452982187,15.21639633,15.27493858,0.275964916,0.322695047,-0.239970863,-0.177837074,2.741402149
198:09:40:00.300,30.73562622,-30,1.484745741,0.024605921,-0.524322331,-19.53061295,15.2920351,-9.565999985,3,15.21639633,15.27641296,0.22807017,0.301950365,-0.237785339,-0.173744872,2.73990345
198:09:40:00.400,30.73562622,-30,1.479660988,0.00153787,-0.518381,-18.51762581,14.67138672,-7.072000027,2.091145754,15.21639633,15.27641296,0.184736848,0.315780133,-0.239533752,-0.177837074,2.74290061
198:09:40:00.500,30.73562622,-30,1.484745741,-0.008465609,-0.505012989,-18.63636398,14.82477856,-2.679282904,0.455729157,15.21639633,15.27641296,0.161929831,0.322695047,-0.240407959,-0.179883167,2.741402149
198:09:40:00.600,30.73562622,-30,1.484745741,-0.050793651,-0.472335696,-19.64007378,15.38171101,0.028513238,-0.523467064,15.21639633,15.27641296,0.282807022,0.297340423,-0.239096642,-0.179883167,2.73990345
198:09:40:00.700,30.73789024,-30,1.484745741,0,-0.505012989,-19.59183693,15.28259563,2.138492823,-1.325132489,15.21639633,15.27641296,0.22807017,0.308865249,-0.235599801,-0.179883167,2.748895168
198:09:40:00.800,30.74015427,-30,1.484745741,-0.005643739,-0.519866347,-19.4749527,15.3250742,3.374745369,-1.806585908,15.21639633,15.27641296,0.239473686,0.290425539,-0.239533752,-0.175790966,2.792354584
198:09:40:00.900,30.74241829,-30,1.484745741,0.010765091,-0.521351635,-19.43784714,15.19056034,3.875763655,-2.009840965,15.21639633,15.27641296,0.264561415,0.306560278,-0.237348229,-0.177837074,2.74290061
198:09:40:01.000,30.74241829,-30,1.484745741,0,-0.512439668,-19.16140938,14.93805313,3.967413425,-2.054125547,15.21639633,15.27788734,0.237192988,0.331914902,-0.238222435,-0.177837074,2.73390913
198:09:40:01.100,30.74241829,-30,1.484745741,0.027681662,-0.505012989,-18.98515701,15.09616566,4.012219906,-2.074564695,15.21639633,15.27641296,0.191578954,0.301950365,-0.238659546,-0.175790966,2.744399309
198:09:40:01.200,30.74241829,-30,1.484745741,0.01230296,-0.51095432,-19.24860764,15.18584061,4.024439812,-2.092732668,15.21639633,15.27641296,0.296491235,0.276595742,-0.236036912,-0.183975369,2.744399309
198:09:40:01.300,30.74241829,-30,1.484745741,-0.060670193,-0.507983685,-19.08534241,14.975811,4.024439812,-2.041635036,15.21639633,15.27641296,0.093508773,0.308865249,-0.238659546,-0.175790966,2.8193295
198:09:40:01.400,30.74241829,-30,1.484745741,-0.110052913,-0.512439668,-19.27829361,15.21651936,3.957230091,-2.024602652,15.21639633,15.27641296,0.25999999,0.308865249,-0.234725595,-0.183975369,2.774371386
198:09:40:01.500,30.74241829,-30,1.484745741,-0.031040564,-0.507983685,-19.13729095,14.96873188,4.10997963,-2.16881156,15.21639633,15.27641296,0.152807012,0.31117022,-0.237785339,-0.179883167,2.73091197
198:09:40:01.600,30.74241829,-30,1.484745741,-0.101587303,-0.494615674,-19.44155884,15.28259563,4.971486568,-2.484481335,15.21639633,15.27641296,0.241754383,0.324999988,-0.236474022,-0.175790966,2.741402149
198:09:40:01.700,30.74241829,-30,1.474576235,0.00615148,-0.534719646,-19.21521378,15.0536871,6.008403301,-2.898940086,15.21639633,15.27641296,0.155087724,0.320390075,-0.238222435,-0.177837074,2.808839321
198:09:40:01.800,30.7446804,-30,1.474576235,-0.022574956,-0.49758634,-19.33766174,15.18584061,7.052521229,-3.314770699,15.21639633,15.27641296,0.196140349,0.318085104,-0.236474022,-0.179883167,2.801346302
198:09:40:01.900,30.74241829,-30,1.474576235,-0.022574956,-0.519866347,-19.37105751,15.23303795,8.130251884,-3.681493998,15.21639633,15.27641296,0.182456136,0.306560278,-0.238222435,-0.179883167,2.804343462
198:09:40:02.000,30.74241829,-30,1.474576235,-0.008465609,-0.505012989,-19.36920166,15.1292038,8.617647171,-3.840407372,15.21639633,15.27641296,0.184736848,0.329609931,-0.238659546,-0.173744872,2.723418951
198:09:40:02.100,30.74241829,-30,1.474576235,-0.088888891,-0.487188995,-19.20037079,15.04896736,7.962184906,-3.587775946,15.21639633,15.2705164,0.166491225,0.290425539,-0.239533752,-0.175790966,2.727914572
198:09:40:02.200,30.7446804,-30,1.479660988,-0.086067021,-0.466394365,-19.24489784,15.01120949,7.422268867,-3.385059357,15.21639633,15.27493858,0.218947366,0.31117022,-0.237785339,-0.181929275,2.74290061
198:09:40:02.300,30.7446804,-30,1.474576235,-0.081834212,-0.479762346,-19.41744041,15.25427723,7.23739481,-3.310696125,15.21639633,15.27788734,0.216666669,0.288120568,-0.235599801,-0.181929275,2.766878366
198:09:40:02.400,30.7446804,-30,1.525423765,-0.471252203,-0.390642405,-19.68645668,15.30855465,7.361344337,-3.54091692,15.2454958,15.2734642,0.266842097,0.378014177,-0.236474022,-0.175790966,2.738404989
198:09:40:02.500,30.7446804,-30,1.2355932,-0.826807737,0.023505012,-19.27087212,15.00884914,7.457983017,-3.958573818,15.27750492,15.27493858,-0.052962963,0.301950365,-0.238659546,-0.173744872,2.724917412
198:09:40:02.600,30.7446804,-30,0.864406765,-1.221869469,0.420324922,-19.15584373,15.12448406,7.233193398,-4.163327694,15.28041458,15.25872231,0.004561403,-0.074869111,-0.242156386,-0.173744872,2.741402149
